before,pingpong_tie,after,length,tie_position
PBBPBP,BPBPT,PPBBTP,5,48
PPTBBT,PBPBT,PPBBBP,5,27
PPBBPP,PBPBT,PPTBPP,5,44
BPBBBB,BPBPT,PBBBPB,5,47
PBBPBT,BPBPT,PBTPPP,5,38
BBTPBB,PBPBT,PBPBPP,5,33
BBPTPP,BPBPT,PBTTBB,5,42
PBPBPB,PBPBT,PBBBBB,5,15
BPPTPB,PBPBT,PPBBPB,5,32
PPPBBB,PBPBT,PPBTPB,5,22
TTPPPB,BPBPT,BBBPPB,5,55
BBBTBB,BPBPT,TPPTPB,5,43
TBBTPP,PBPBT,BPBBPB,5,37
BPBBPB,BPBPT,BBBPPP,5,20
BPPPBP,PBPBT,BBBBPP,5,26
BPBPPB,PBPBT,PPPBPB,5,59
PBPBBB,PBPBT,BPBPPB,5,31
BPBPPB,PBPBT,BPPPPT,5,42
PPPPPP,BPBPT,BBPPPP,5,42
BBPBBB,BPBPT,PBPTPT,5,41
BPTPBP,TPTPT,PPTPPB,5,49
TBBBPP,PBPBT,PBBBBT,5,31
BTPBBP,BPBPT,BPBPTP,5,22
PBPBPT,BPBPT,PBTBBP,5,27
BBBPPT,PBPBT,PBBPBP,5,13
BBBPPB,BPBPT,PPPPPB,5,61
PPPPBP,BPBPT,BBPPPB,5,38
PBBPBP,PBPBT,PPBBPP,5,38
BBPPBB,BPBPT,PBBBPP,5,79
PPBBPB,PBPBT,BBPPPP,5,45
BPPPPB,PTPTT,BBBPBB,5,57
BPBBPP,PBPBT,PTPBPB,5,36
BPBTBB,PBPBT,PBBBPB,5,32
BBPPBB,PBPBT,TPPPPT,5,16
PPPBPP,PBPBT,BPBPBB,5,17
TBPBPB,BPBPT,PBBPPT,5,27
BBPBBP,BPBPT,PTBBTB,5,48
