before,bantai,after,pattern,direction
PBBPBB,PBBBPPPPPP,BBPPBP,1-3-6,ขึ้น
BBPBPB,PBBPPP,BBBPPB,1-2-3,ขึ้น
BPBPPB,PBBBPPPP,BBBBPP,1-3-4,ขึ้น
PPPBPB,PBBPPP,BBBBBP,1-2-3,ขึ้น
PBBPPP,BBBBBPPB,PPPPPP,5-2-1,ลง
PPBPPB,PBBPPPPP,BBPBPP,1-2-5,ขึ้น
BPBBBB,PBBPPPPPPP,BBBBPB,1-2-7,ขึ้น
BBBPPB,PPPBBP,BBBPPP,3-2-1,ลง
PBPPBB,PPBBBBPPPPPPPP,BBPBBP,2-4-8,ขึ้น
PPPPBB,PBBPPP,BPPPPB,1-2-3,ขึ้น
PBBPBP,BBBBBPPPB,PPPBPB,5-3-1,ลง
BBBBBP,BPPBBB,PPPPPP,1-2-3,ขึ้น
BPPBBB,PPPPPPPBBP,BBPPPP,7-2-1,ลง
PBBBBP,BPPBBBBB,PBBPBP,1-2-5,ขึ้น
BBPBPB,PBBPPP,BBBPBP,1-2-3,ขึ้น
BBBPBP,BPPBBB,PPBBBB,1-2-3,ขึ้น
BBPBPB,PPPPPBBP,BBBPBP,5-2-1,ลง
PBBPPB,PPPBBP,BPBBPB,3-2-1,ลง
PPBBBP,BPPPBBBB,PPPPPP,1-3-4,ขึ้น
PPBPPP,BPPPBBBB,PPBBPB,1-3-4,ขึ้น
BBPPBB,PBBBPPPPPP,BPBPPP,1-3-6,ขึ้น
PBPBBP,BBBBBBBPPPPPB,PPBBPB,7-5-1,ลง
BBPBBP,BBBBPPB,PBPBPB,4-2-1,ลง
PBBPBB,PBBPPPPP,BBPPPB,1-2-5,ขึ้น
BPPPPP,BBPPPBBBB,PPPBPB,2-3-4,ขึ้น
PPPBBP,BBBPPB,PBBBBB,3-2-1,ลง
BBPPBP,BBBBBPPPBB,PPPBPP,5-3-2,ลง
PPPBBB,PBBBBBPPPPPP,BBPBBB,1-5-6,ขึ้น
PPBPBP,BBBBBBPPB,PBBBBP,6-2-1,ลง
BBBPBP,BPPBBB,PBPPBP,1-2-3,ขึ้น
PBPBBB,PPPBBP,BBBBBB,3-2-1,ลง
BPBBBP,BBBBPPB,PBPPBP,4-2-1,ลง
PBPPPB,PPPPBBBP,BBBBBP,4-3-1,ลง
PBPPBP,BPPBBB,PBPBBP,1-2-3,ขึ้น
BBPPBB,PPPBBP,BPPPBB,3-2-1,ลง
PPBBPB,PPPBBP,BBBPPB,3-2-1,ลง
PPPBBP,BBBPPB,PBPBPP,3-2-1,ลง
PPPBPP,BPPPPBBBBBB,PBBBBP,1-4-6,ขึ้น
PPPPPB,PPPBBP,BPBBBB,3-2-1,ลง
